run_id,image_path,scenario,strategy,auto_selected_strategy,pred_action,true_action,confidence,was_tie,arbitration_ms,perception_ms,n_conflicts,max_severity,agreement_rate,agent_actions
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Majority Voting,,PROCEED,PROCEED,0.667,False,0.09710001177154481,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Confidence Weighted Voting,,PROCEED,PROCEED,0.726,False,0.12840001727454364,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Rule-Based Arbitration,,EMERGENCY BRAKE,PROCEED,0.99,False,0.0940999889280647,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Leader Election,,EMERGENCY BRAKE,PROCEED,0.96,False,0.09599997429177165,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Dynamic Reliability Scoring,,PROCEED,PROCEED,0.655,False,0.089599983766675,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Bayesian Fusion,,PROCEED,PROCEED,0.994,False,0.16460000188089907,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Weighted Consensus,,PROCEED,PROCEED,0.655,False,0.0953000271692872,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Softmax-Weighted Selection,,PROCEED,PROCEED,0.654,False,0.08369999704882503,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Adaptive Reliability Learning,,PROCEED,PROCEED,0.654,False,0.09019998833537102,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
run_f5f5ea58,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653387172359_jpg.rf.06ada65167bfe3ac33fd2eda180b64b8.jpg,clear_day,Dynamic Entropy-Weighted Ensemble,,PROCEED,PROCEED,0.566,False,0.11219998123124242,4442.284499993548,3,CRITICAL,0.6666666666666666,"{""Object Detection Agent"": ""PROCEED"", ""Secondary Detection Agent"": ""PROCEED"", ""Lane Detection Agent"": ""PROCEED"", ""Traffic Rule Agent"": ""PROCEED"", ""Scene Understanding Agent"": ""SLOW DOWN"", ""Risk Assessment Agent"": ""EMERGENCY BRAKE"", ""Planning Agent"": ""EMERGENCY BRAKE""}"
